compound,targets,mutations,moa-broad,moa-fine,human-approved,clinical-trials,gpt-notes-approval
Levobupivacaine (hydrochloride),SCN5A,n/a,inhibitor/antagonist,unclear,yes,yes,Approved as an enantiomer of bupivacaine for anesthetic use.
Lidocaine (hydrochloride),"MAP2K1, MAPK1, NFKB1",n/a,unclear,unclear,yes,yes,Lidocaine hydrochloride is approved as a local anesthetic.
Ligustrazine,none,n/a,unclear,unclear,no,yes,"Mainly used in traditional Chinese medicine, limited human trials exist."
Lipoic acid,none,n/a,unclear,unclear,yes,yes,"Approved as dietary supplement, not as a drug for specific indications."
LJI308,"RPS6KA1, RPS6KA3, RPS6KA2",n/a,inhibitor/antagonist,Other MAPK inhibitor,no,yes,"Investigational compound, not approved for human use as a drug."
Lonafarnib,"HRAS, KRAS, NRAS",n/a,inhibitor/antagonist,RAS inhibitor,yes,yes,Approved for progeria treatment in children.
Loperamide (hydrochloride),none,n/a,unclear,unclear,yes,yes,"Approved for diarrhea treatment, limited CNS penetration due to P-gp substrate."
Lopinavir,none,n/a,inhibitor/antagonist,unclear,yes,yes,Combined with ritonavir for HIV treatment. Approved for human use.
Lucanthone,none,n/a,inhibitor/antagonist,unclear,no,yes,"Investigated for cancer treatment, not approved for human use."
Lumateperone (tosylate),"HTR2A, DRD2",n/a,unclear,unclear,yes,yes,Approved for schizophrenia; marketed as Caplyta.
LY-2584702 (tosylate salt),RPS6KB1,n/a,inhibitor/antagonist,MTOR inhibitor,no,yes,Investigated in clinical trials for cancer treatment. Not approved for human use.
LY2090314,"GSK3B, GSK3A",n/a,inhibitor/antagonist,GSK3 inhibitor,no,yes,Investigated for Alzheimer's; not approved for any condition.
Macitentan,"EDNRA, EDNRB",n/a,inhibitor/antagonist,unclear,yes,yes,Approved for pulmonary arterial hypertension treatment.
Malotilate,ALOX5,n/a,inhibitor/antagonist,unclear,no,yes,"Investigated, but not approved for human use."
Mebendazole,"TUBA1A, TUBA1B, TUBA1C, TUBB, TUBB1, TUBB2A, TUBB3, TUBB4A, TUBB4B, TUBB6",n/a,inhibitor/antagonist,Microtubule inhibitor,yes,yes,Approved for treating parasitic worm infestations.
Medroxyprogesterone acetate,PGR,n/a,unclear,unclear,yes,yes,Approved as a contraceptive and for hormone therapy.
Megestrol,none,n/a,unclear,unclear,yes,yes,Used for appetite loss and weight gain in cancer/AIDS patients.
Meloxicam,"PTGS1, PTGS2",n/a,inhibitor/antagonist,Cyclooxygenase inhibitor,yes,yes,Meloxicam is an approved NSAID for pain and inflammation.
Menadione,none,n/a,unclear,unclear,no,yes,"Used in trials; a vitamin K analog, not fully approved for human use."
Methotrexate,DHFR,n/a,inhibitor/antagonist,DNA synthesis/repair inhibitor,yes,yes,Widely used for cancer and autoimmune diseases treatments.
Methyl aminolevulinate (hydrochloride),none,n/a,unclear,unclear,yes,yes,Used in photodynamic therapy for actinic keratosis.
Methylprednisolone succinate,NR3C1,n/a,unclear,Glucocorticoid receptor agonist,yes,yes,Corticosteroid; approved for reducing inflammation in various conditions.
Methylthiouracil,none,n/a,unclear,unclear,no,yes,"Used in research, not approved for human therapeutic use."
Mifepristone,"NR3C1, PGR",n/a,inhibitor/antagonist,unclear,yes,yes,Approved for medical abortion and Cushing's syndrome treatment.
Minodronic acid,"P2RX2, P2RX3",n/a,inhibitor/antagonist,unclear,no,yes,Investigated for osteoporosis; not approved in major markets.
Mitoxantrone (dihydrochloride),"TOP2A, TOP2B, PRKCA",n/a,inhibitor/antagonist,DNA synthesis/repair inhibitor,yes,yes,Approved for cancer and multiple sclerosis treatment.
MK-3903,PRKAA1,n/a,activator/agonist,unclear,no,yes,"Investigated for NASH, not yet approved for human use."
MK-8353,"MAPK3, MAPK1",n/a,inhibitor/antagonist,Other MAPK inhibitor,no,yes,Investigated for cancer treatment in clinical trials.
ML264,KLF5,n/a,inhibitor/antagonist,unclear,no,no,No clinical trials found on clinicaltrials.gov.
Monocrotaline,"SLC22A1, SLC22A2",n/a,inhibitor/antagonist,unclear,no,no,"Toxic pyrrolizidine alkaloid, not approved for human use."
Mozavaptan,AVPR2,n/a,inhibitor/antagonist,unclear,no,yes,In trials for conditions like hyponatremia but not approved for use.
Nafamostat (mesylate),none,n/a,inhibitor/antagonist,unclear,yes,yes,"Approved in some countries, often used as anticoagulant."
Naproxen,"PTGS1, PTGS2",n/a,inhibitor/antagonist,Cyclooxygenase inhibitor,yes,yes,Used as non-prescription NSAID in many countries.
Neratinib,"EGFR, ERBB2",n/a,inhibitor/antagonist,EGFR/ERBB inhibitor,yes,yes,Approved for breast cancer treatment.
Neratinib (maleate),"EGFR, ERBB2",n/a,inhibitor/antagonist,EGFR/ERBB inhibitor,yes,yes,Approved for HER2-positive breast cancer treatment.
Nevirapine,none,n/a,inhibitor/antagonist,unclear,yes,yes,Antiretroviral for HIV treatment approved for human use.
NG25,"MAP4K2, MAP3K7, LYN, ABL1, ABL2, FER, SRC, EPHA2, EPHB2, EPHB4, ZAK, ZKSCAN1, RAF1",n/a,inhibitor/antagonist,Other MAPK inhibitor,no,yes,"NG25 is in preclinical stages, not approved for humans."
Niclosamide (olamine),STAT3,n/a,inhibitor/antagonist,unclear,yes,yes,"Approved for parasitic infections, investigated for other uses."
Nimesulide,PTGS2,n/a,inhibitor/antagonist,Cyclooxygenase inhibitor,no,yes,Withdrawn in some countries due to safety concerns; not FDA-approved.
Norepinephrine (hydrochloride),"ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, ADRB1",n/a,activator/agonist,Adrenoceptor agonist,yes,yes,Approved for human use as a medication to treat low blood pressure.
NVP-BHG712,EPHB4,n/a,inhibitor/antagonist,unclear,no,yes,Investigated as angiogenesis inhibitor; not approved for human use.
Olanzapine,"HTR2A, HTR2C, DRD2, DRD4, ADRA1A, ADRA1B, ADRA1D, HTR6, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5",n/a,inhibitor/antagonist,unclear,yes,yes,Olanzapine is used in treatment of schizophrenia and bipolar disorder.
olaparib,"PARP1, PARP2",n/a,unclear,DNA synthesis/repair inhibitor,yes,yes,Approved for BRCA-mutated cancers.
Oleic acid,none,n/a,activator/agonist,unclear,yes,yes,"Used in food, cosmetics, and as an excipient in pharmaceuticals."
Omeprazole,none,n/a,inhibitor/antagonist,unclear,yes,yes,Used as part of racemic mixture for acid-related conditions.
Omeprazole (sodium),none,n/a,inhibitor/antagonist,unclear,yes,yes,Approved in salt form as acid reflux treatment.
Orlistat,none,n/a,inhibitor/antagonist,unclear,yes,yes,Used to treat obesity by preventing fat absorption.
Ornidazole,none,n/a,unclear,unclear,yes,yes,"Used for bacterial and protozoal infections, common in some countries."
Osimertinib (mesylate),EGFR,"EGFRT790M/L858R, EGFRL858R",inhibitor/antagonist,EGFR/ERBB inhibitor,yes,yes,Approved for non-small cell lung cancer treatment.
OTS514,MAP3K8,n/a,inhibitor/antagonist,Other MAPK inhibitor,no,yes,Investigational drug in preclinical and early phase clinical trials.
Ouabain (Octahydrate),none,n/a,unclear,unclear,no,yes,Investigated for heart failure but not approved for human use.
Oxaliplatin,none,n/a,inhibitor/antagonist,DNA synthesis/repair inhibitor,yes,yes,Approved for use in chemotherapy treatments.
Oxaprozin,"PTGS1, PTGS2, NFKB1",n/a,inhibitor/antagonist,Cyclooxygenase inhibitor,yes,yes,Approved NSAID for arthritis treatment.
Paclitaxel,none,n/a,unclear,Microtubule inhibitor,yes,yes,Chemotherapy drug approved for cancer treatment.
palbociclib,"CDK4, CDK6",n/a,inhibitor/antagonist,CDK inhibitor,yes,yes,Approved for human use as a cancer treatment.
Palmatine (chloride),"IDO1, WNV NS2B-NS3",n/a,inhibitor/antagonist,unclear,no,yes,Used in some traditional medicine; lacks formal approval for human use.
Panobinostat,"HDAC1, HDAC2, HDAC3, HDAC6, HDAC8, HDAC10, HDAC11",n/a,inhibitor/antagonist,HDAC inhibitor,yes,yes,Approved for multiple myeloma treatment.
Pasireotide (acetate),"SSTR1, SSTR2, SSTR3, SSTR5",n/a,activator/agonist,unclear,yes,yes,Approved for Cushing's disease and acromegaly.
Pemetrexed,"TYMS, DHFR, GART",n/a,inhibitor/antagonist,DNA synthesis/repair inhibitor,yes,yes,Chemotherapy drug for mesothelioma and non-small cell lung cancer.
Pemigatinib,"FGFR1, FGFR2, FGFR3, FGFR4",n/a,inhibitor/antagonist,Other TK inhibitor,yes,yes,Approved for treating cholangiocarcinoma.
Penfluridol,DRD2,n/a,inhibitor/antagonist,unclear,yes,yes,Long-acting antipsychotic drug approved for human use.
Pentagastrin,CCKBR,n/a,inhibitor/antagonist,unclear,yes,yes,Used mainly in diagnostic tests for gastric functions.
Pentamidine (isethionate),PRLR,n/a,inhibitor/antagonist,unclear,yes,yes,Used to treat Pneumocystis pneumonia and African trypanosomiasis.
Pentoxifylline,none,n/a,inhibitor/antagonist,unclear,yes,yes,Used to improve blood flow in peripheral artery disease.
Peretinoin,"RXRA, RXRB, RXRG",n/a,unclear,Retinoic receptor agonist,no,yes,"Studied for liver cancer, not approved for human use."
Perindopril (erbumine),"STAT3, ACE",n/a,inhibitor/antagonist,unclear,yes,yes,Approved ACE inhibitor for hypertension and heart failure.
Pexidartinib (hydrochloride),"CSF1R, KIT, FLT3",n/a,inhibitor/antagonist,Multi-TK inhibitor,yes,yes,Approved for tenosynovial giant cell tumor in 2019.
PF-06260933,MAP4K4,n/a,inhibitor/antagonist,Other MAPK inhibitor,no,yes,Investigated for treating pain; not approved for human use.
PH-797804,MAPK14,n/a,inhibitor/antagonist,Other MAPK inhibitor,no,yes,"Investigated as an anti-inflammatory agent, not approved for human use."
Phenylephrine (hydrochloride),"ADRA1A, ADRA1B, ADRA1D",n/a,activator/agonist,Adrenoceptor agonist,yes,yes,Widely used as a decongestant and in eye drops.
Phenytoin (sodium),none,n/a,inhibitor/antagonist,unclear,yes,yes,Commonly used as an anti-seizure medication.
Pimitespib,"HSP90AA1, HSP90AB1",n/a,inhibitor/antagonist,unclear,no,yes,Investigated in trials for cancer; not approved for human use yet.
Pimozide,"DRD2, DRD3",n/a,inhibitor/antagonist,unclear,yes,yes,Approved antipsychotic used mainly for Tourette's syndrome and chronic schizophrenia.
Pioglitazone,PPARG,n/a,activator/agonist,unclear,yes,yes,Approved for type 2 diabetes treatment.
Piroxicam,"PTGS1, PTGS2",n/a,inhibitor/antagonist,Cyclooxygenase inhibitor,yes,yes,Approved NSAID for arthritis and pain relief.
Pitavastatin (Calcium),HMGCR,n/a,inhibitor/antagonist,unclear,yes,yes,"Approved for lowering cholesterol, part of statins class of drugs."
Plicamycin,"SP1, GSTM2",n/a,inhibitor/antagonist,unclear,yes,yes,Plicamycin is used to treat testicular cancer and hypercalcemia.
Ponatinib,"ABL1, PDGFRA, KDR, FGFR1, SRC, KIT",n/a,inhibitor/antagonist,Multi-TK inhibitor,yes,yes,Approved for treatment of certain types of leukemia.
Posaconazole,none,n/a,unclear,unclear,yes,yes,Broad-spectrum antifungal approved for human use.
Pralsetinib,RET,"RETV804L, RETV804M, RETM918T, CCDC6-RET fusion",inhibitor/antagonist,Other TK inhibitor,yes,yes,Approved for RET fusion-positive cancers.
Pravastatin (sodium),HMGCR,n/a,inhibitor/antagonist,unclear,yes,yes,Approved as a cholesterol-lowering agent.
Procainamide (hydrochloride),DNMT1,n/a,inhibitor/antagonist,DNA methyltransferase inhibitor,yes,yes,Used for arrhythmias; often as its hydrochloride salt form.
Proglumide,"CCKBR, CCKAR",n/a,inhibitor/antagonist,unclear,no,yes,"Proglumide investigated for gastrointestinal use, not widely approved for humans."
Pyridoxine,none,n/a,unclear,unclear,yes,yes,Vitamin B6; essential nutrient approved for various health conditions.
Pyridoxine (hydrochloride),none,n/a,unclear,unclear,yes,yes,"Vitamin B6, approved for various medical conditions."
Quinestrol,none,n/a,unclear,unclear,yes,yes,Estrogen approved for use in menopausal therapy and contraceptives.
Quinidine (15% dihydroquinidine),KCNH2,n/a,inhibitor/antagonist,unclear,yes,yes,Approved for arrhythmias as part of quinine alkaloids.
Radotinib,ABL1,ABL1T315I,inhibitor/antagonist,Other TK inhibitor,no,yes,"Tested for chronic myeloid leukemia, not approved in major markets."
Ralimetinib dimesylate,"MAPKAPK2, MAPK14, MAPK11",n/a,inhibitor/antagonist,Other MAPK inhibitor,no,yes,Investigated as cancer treatment; not approved for human use.
Raltitrexed,TYMS,n/a,inhibitor/antagonist,DNA synthesis/repair inhibitor,yes,yes,Approved for cancer treatment as thymidylate synthase inhibitor.
Ranolazine,none,n/a,inhibitor/antagonist,unclear,yes,yes,Approved for treating chronic angina.
Rapamycin,"MTOR, FKBP1A",n/a,inhibitor/antagonist,MTOR inhibitor,yes,yes,Approved mainly for organ transplantation and cancer treatment.
Regorafenib,"BRAF, FLT1, FLT4, KDR, KIT, PDGFRB, RAF1, RET, TEK",BRAFV600E,inhibitor/antagonist,Multi-TK inhibitor,yes,yes,"Used for metastatic colorectal cancer, GIST, HCC."
Relugolix,GNRHR,n/a,inhibitor/antagonist,unclear,yes,yes,Approved for prostate cancer and uterine fibroids treatment.
Resveratrol,SIRT1,n/a,unclear,unclear,no,yes,"Studies showed promising results, but no approval for therapeutic use."
Retinoic acid,"RARB, RARG, RARA, PPARD",n/a,activator/agonist,Retinoic receptor agonist,yes,yes,Approved for acne and leukemia treatment.
Ribociclib,"CDK4, CDK6",n/a,inhibitor/antagonist,CDK inhibitor,yes,yes,Approved for human use in combination with letrozole for breast cancer.
Rifaximin,none,n/a,unclear,unclear,yes,yes,Approved for treatment of IBS and hepatic encephalopathy.
Riluzole hydrochloride,none,n/a,inhibitor/antagonist,unclear,yes,yes,Used in ALS treatment.
Rimonabant,CNR1,n/a,inhibitor/antagonist,unclear,no,yes,Withdrawn due to psychiatric side effects.
Rimonabant (Hydrochloride),CNR1,n/a,inhibitor/antagonist,unclear,no,yes,"Withdrawn due to psychiatric side effects, once used as anti-obesity drug."
Ritonavir,none,n/a,inhibitor/antagonist,unclear,yes,yes,Used in combination HIV therapies.
RMC-6236,KRAS,KRASG12D,inhibitor/antagonist,RAS inhibitor,no,yes,"Investigated as a potential cancer treatment, but not approved for human use."
Ropivacaine (hydrochloride monohydrate),none,n/a,inhibitor/antagonist,unclear,yes,yes,A local anesthetic used in surgeries and pain management.
Rosiglitazone,"PPARG, TRPC5, TRPM3",n/a,unclear,unclear,yes,yes,Approved for diabetes; risk of heart failure in some patients.
Roxadustat,none,n/a,inhibitor/antagonist,unclear,yes,yes,"Approved for anemia treatment in some countries, e.g., China, Japan."
Rucaparib (phosphate),"PARP1, PARP2, PARP3",n/a,inhibitor/antagonist,DNA synthesis/repair inhibitor,yes,yes,Approved as a cancer therapy PARP inhibitor.
Rutin (trihydrate),none,n/a,unclear,unclear,no,no,Commonly used in supplements; lacks regulatory approval as a drug.
S-Adenosyl-L-methionine (disulfate tosylate),none,n/a,unclear,unclear,yes,yes,Used as dietary supplement; approved in some countries for depression treatment.
Sacubitril/Valsartan,AGTR1,n/a,inhibitor/antagonist,unclear,yes,yes,"Combination drug known as Entresto, used for heart failure treatment."
Salicylic acid,none,n/a,inhibitor/antagonist,Cyclooxygenase inhibitor,yes,yes,Used topically for acne and in aspirin synthesis.
Sapanisertib,MTOR,n/a,inhibitor/antagonist,MTOR inhibitor,no,yes,"Investigational mTOR inhibitor, not approved yet but studied for cancer treatment."
Saquinavir,none,n/a,inhibitor/antagonist,unclear,yes,yes,Approved as part of antiretroviral therapy for HIV/AIDS.
SBI-0640756,none,n/a,inhibitor/antagonist,Protein synthesis inhibitor,no,no,No record found on clinicaltrials.gov.
Selinexor,XPO1,n/a,inhibitor/antagonist,unclear,yes,yes,Approved for certain cancer treatments.
Sildenafil,PDE5A,n/a,inhibitor/antagonist,unclear,yes,yes,Approved for erectile dysfunction and pulmonary arterial hypertension.
Silodosin,"ADRA1A, ADRA1B, ADRA1D",n/a,inhibitor/antagonist,unclear,yes,yes,Approved for benign prostatic hyperplasia treatment.
Simotinib,EGFR,n/a,inhibitor/antagonist,EGFR/ERBB inhibitor,no,yes,"Investigated in trials, but not approved for human use."
Sinomenine,OPRM1,n/a,unclear,unclear,no,yes,Used in trials for pain and arthritis.
Sivelestat (sodium tetrahydrate),ELANE,n/a,inhibitor/antagonist,unclear,no,yes,"Approved in Japan, not approved in US/EU."
Sodium Salicylate,PTGS2,n/a,inhibitor/antagonist,Cyclooxygenase inhibitor,no,yes,"Used in studies, NSAID-related research, not approved for standard human therapy."
Sonidegib,SMO,n/a,inhibitor/antagonist,Sonic inhibitor,yes,yes,Approved for basal cell carcinoma treatment.
Sulfatinib,"FLT1, KDR, FLT4, FGFR1, CSF1R",n/a,inhibitor/antagonist,Multi-TK inhibitor,no,yes,"Investigated in trials for neuroendocrine tumors, not yet approved for use."
Sulfisoxazole,"EDNRA, EDNRB",n/a,inhibitor/antagonist,unclear,yes,yes,Discontinued in U.S.; previously used for bacterial infections.
Sunitinib,"KDR, PDGFRB",n/a,inhibitor/antagonist,Multi-TK inhibitor,yes,yes,Approved anticancer drug used for renal cell carcinoma and gastrointestinal stromal tumors.
Tadalafil,PDE5A,n/a,inhibitor/antagonist,unclear,yes,yes,Used for erectile dysfunction and pulmonary arterial hypertension.
TAK-733,MAP2K1,n/a,inhibitor/antagonist,MEK inhibitor,no,yes,Investigated as anti-cancer MEK inhibitor; not approved for human use.
TAK-901,AURKB,n/a,inhibitor/antagonist,unclear,no,yes,Investigational cancer drug; not approved for human use yet.
Talc,none,n/a,unclear,unclear,yes,yes,Talc used in pharma and cosmetics; safety under review for some uses.
Tazarotene,"RARA, RARB, RARG",n/a,activator/agonist,Retinoic receptor agonist,yes,yes,Topical retinoid approved for psoriasis and acne treatment.
Temsirolimus,MTOR,n/a,inhibitor/antagonist,MTOR inhibitor,yes,yes,Approved for treating renal cell carcinoma.
Temuterkib,none,n/a,inhibitor/antagonist,Other MAPK inhibitor,no,yes,Temuterkib is in clinical trials for cancer treatment.
Terfenadine,HRH1,n/a,inhibitor/antagonist,unclear,no,yes,Withdrawn due to cardiac toxicity; replaced by fexofenadine.
Tetracycline (hydrochloride),none,n/a,unclear,unclear,yes,yes,Approved antibiotic often used as tetracycline hydrochloride.
Thymol,TRPA1,n/a,activator/agonist,unclear,no,yes,Used in clinical trials as antiseptic and antifungal.
Thymopentin,none,n/a,unclear,unclear,no,yes,In clinical trials for immune deficiency and autoimmune diseases.
Tirabrutinib,BTK,n/a,inhibitor/antagonist,Other TK inhibitor,no,yes,"In clinical trials, not approved for human use yet."
Tirabrutinib (hydrochloride),BTK,n/a,inhibitor/antagonist,Other TK inhibitor,no,yes,Not approved in US/EU; used investigationally in some regions.
Tofacitinib,"JAK1, JAK2, JAK3",n/a,inhibitor/antagonist,JAK/STAT inhibitor,yes,yes,Approved for rheumatoid arthritis and other conditions.
Tofacitinib (citrate),"JAK1, JAK2, JAK3",n/a,inhibitor/antagonist,JAK/STAT inhibitor,yes,yes,Approved for rheumatoid arthritis and other conditions.
Tolcapone,COMT,n/a,inhibitor/antagonist,unclear,yes,yes,"Used in Parkinson's treatment, subject to liver monitoring."
Tolmetin,"PTGS1, PTGS2",n/a,inhibitor/antagonist,Cyclooxygenase inhibitor,yes,yes,Approved NSAID for pain and inflammation.
Tomivosertib,none,n/a,inhibitor/antagonist,Protein synthesis inhibitor,no,yes,In clinical trials for cancer; not FDA approved for human use yet.
Topotecan (hydrochloride),TOP1,n/a,inhibitor/antagonist,DNA synthesis/repair inhibitor,yes,yes,"Approved for treating ovarian, small cell lung, and cervical cancer."
Torkinib,"MTOR, PDGFRA, PRKDC, PIK3CD, PIK3CG, PIK3CA, PIK3CB, HCK, SRC, KDR, ABL1, EPHB4, EGFR",n/a,inhibitor/antagonist,MTOR inhibitor,no,yes,In clinical trials for cancer treatment but not yet approved.
Trametinib,"MAP2K1, MAP2K2",n/a,inhibitor/antagonist,MEK inhibitor,yes,yes,Approved for melanoma treatment.
Trametinib (DMSO_TF solvate),"MAP2K1, MAP2K2",n/a,inhibitor/antagonist,MEK inhibitor,yes,yes,"Approved for use in cancer treatment (e.g., melanoma)."
Tranilast,"PLA2G2A, EGR1",n/a,inhibitor/antagonist,unclear,yes,yes,Approved for asthma and allergic disorders in some countries.
Triamcinolone,NR3C1,n/a,unclear,Glucocorticoid receptor agonist,yes,yes,Approved corticosteroid for various inflammatory and allergic conditions.
Triclosan,none,n/a,inhibitor/antagonist,unclear,no,yes,Banned in soaps; used in some consumer products and healthcare settings.
Trifluridine,none,n/a,inhibitor/antagonist,DNA synthesis/repair inhibitor,yes,yes,Used to treat viral infections and in cancer therapy (with tipiracil).
Trimetrexate,DHFR,n/a,inhibitor/antagonist,DNA synthesis/repair inhibitor,yes,yes,Used with leucovorin for treating certain types of pneumonia.
Tubulin inhibitor 6,none,n/a,inhibitor/antagonist,Microtubule inhibitor,no,no,No available data on human use or clinical trials.
Tucatinib,ERBB2,n/a,inhibitor/antagonist,EGFR/ERBB inhibitor,yes,yes,Approved for human use in advanced HER2-positive breast cancer.
Tucidinostat,"HDAC1, HDAC2, HDAC3, HDAC10, HDAC8, HDAC11",n/a,inhibitor/antagonist,HDAC inhibitor,yes,yes,Approved for use in China for certain cancers.
ULK-101,"ULK1, ULK2",n/a,inhibitor/antagonist,unclear,no,no,No clinical trial data found on clinicaltrials.gov.
Uridine,none,n/a,unclear,unclear,no,yes,"Studied in trials; not approved as standalone drug, essential body metabolite."
Valdecoxib,PTGS2,n/a,inhibitor/antagonist,Cyclooxygenase inhibitor,no,yes,Withdrawn due to safety concerns related to cardiovascular risks.
Vandetanib,"EGFR, KDR",n/a,inhibitor/antagonist,Multi-TK inhibitor,yes,yes,Approved for use in medullary thyroid cancer.
Vemurafenib,BRAF,BRAFV600E,inhibitor/antagonist,RAF inhibitor,yes,yes,Approved for treating BRAF V600E mutation-positive melanoma.
venetoclax,BCL2,n/a,inhibitor/antagonist,unclear,yes,yes,Approved for chronic lymphocytic leukemia and other cancers.
Verapamil,"CYP3A4, ABCB1",n/a,inhibitor/antagonist,unclear,yes,yes,Used as a racemic mixture for hypertension and angina.
Verteporfin,YAP1,n/a,inhibitor/antagonist,unclear,yes,yes,Used in photodynamic therapy for macular degeneration.
Vilanterol,ADRB2,n/a,activator/agonist,Adrenoceptor agonist,yes,yes,Combined with fluticasone furoate for asthma and COPD treatment.
Vinblastine (sulfate),none,n/a,inhibitor/antagonist,Microtubule inhibitor,yes,yes,"Used in cancer treatment, notably Hodgkin's lymphoma."
vincristine,none,n/a,inhibitor/antagonist,Microtubule inhibitor,yes,yes,Used in chemotherapy for various cancers.
Vismodegib,"SMO, ABCB1, ABCG2",n/a,inhibitor/antagonist,Sonic inhibitor,yes,yes,Approved for treating basal cell carcinoma.
Vitamin K4,none,n/a,unclear,unclear,no,yes,Investigated in a clinical trial in Egypt.
Volasertib,"PLK1, PLK2, PLK3",n/a,inhibitor/antagonist,unclear,no,yes,"Investigated for cancer treatment, not approved for human use."
Voriconazole,none,n/a,inhibitor/antagonist,unclear,yes,yes,Approved for treating invasive fungal infections.
Vortioxetine,"SLC6A4, HTR3A, HTR7",n/a,unclear,unclear,yes,yes,Approved for major depressive disorder.
XRK3F2,none,n/a,inhibitor/antagonist,unclear,no,no,No results found on clinicaltrials.gov
Zileuton,ALOX5,n/a,inhibitor/antagonist,unclear,yes,yes,Approved for asthma treatment; 5-lipoxygenase inhibitor.
γ-Oryzanol,none,n/a,inhibitor/antagonist,DNA methyltransferase inhibitor,no,yes,Used in supplements; limited human data.
